,Test,Die,VDD (V),,,,,,,VG1 (V),IDD (A),,,,,,,,,,,,,,,
693862,TCC2,R46,5,#,#,#,#,#,#,-0.3925,0.05748,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R47,5,#,#,#,#,#,#,-0.3890625,0.05822,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R48,5,#,#,#,#,#,#,-0.3890625,0.05817,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R49,5,#,#,#,#,#,#,-0.385625,0.05835,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R50,5,#,#,#,#,#,#,-0.385625,0.05841,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R55,5,#,#,#,#,#,#,-0.371875,0.05786,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R56,5,#,#,#,#,#,#,-0.371875,0.05784,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R57,5,#,#,#,#,#,#,-0.358125,0.05839,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R58,5,#,#,#,#,#,#,-0.358125,0.05818,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R59,5,#,#,#,#,#,#,-0.35125,0.05855,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R60,5,#,#,#,#,#,#,-0.358125,0.05768,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,R9,5,#,#,#,#,#,#,-0.4509375,0.05786,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X10,5,#,#,#,#,#,#,-0.426875,0.0575,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X15,5,#,#,#,#,#,#,-0.3925,0.05851,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
693862,TCC2,X16,5,#,#,#,#,#,#,-0.399375,0.05841,0.058,#,#,#,#,#,#,#,#,#,#,#,#,#,#
