,RK,NAME,POS,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS,GAME LOG PAGE
2,163,John Collins,PF,ATL,61,30.0,1.44,-1.59,-0.15,3.63,http://www.espn.com/nba/player/gamelog/_/id/3908845/john-collins
3,164,Kenneth Faried,PF,HOU/BKN,37,19.7,-0.67,0.50,-0.17,1.40,http://www.espn.com/nba/player/gamelog/_/id/6433/kenneth-faried
4,165,Eric Moreland,PF,PHX/TOR,5,8.6,-1.71,1.54,-0.17,0.01,http://www.espn.com/nba/player/gamelog/_/id/2531352/eric-moreland
5,166,Corey Brewer,SG,PHI/SAC,31,15.9,-1.60,1.40,-0.20,0.92,http://www.espn.com/nba/player/gamelog/_/id/3191/corey-brewer
6,167,Salah Mejri,C,DAL,36,11.1,-1.83,1.61,-0.22,0.72,http://www.espn.com/nba/player/gamelog/_/id/2968458/salah-mejri
7,168,Harrison Barnes,SF,DAL/SAC,77,32.9,-0.17,-0.06,-0.23,4.79,http://www.espn.com/nba/player/gamelog/_/id/6578/harrison-barnes
8,169,Shabazz Napier,PG,BKN,56,17.6,0.55,-0.78,-0.23,1.81,http://www.espn.com/nba/player/gamelog/_/id/2530780/shabazz-napier
9,170,Jaren Jackson Jr.,PF,MEM,58,26.1,-2.33,2.08,-0.25,2.69,http://www.espn.com/nba/player/gamelog/_/id/4277961/jaren-jackson-jr.
10,171,Ivica Zubac,C,LAC/LAL,59,17.6,-2.54,2.28,-0.26,1.86,http://www.espn.com/nba/player/gamelog/_/id/4017837/ivica-zubac
11,172,Deandre Ayton,C,PHX,71,30.7,-1.22,0.94,-0.28,3.83,http://www.espn.com/nba/player/gamelog/_/id/4278129/deandre-ayton
12,173,Klay Thompson,SG,GS,78,34.0,1.51,-1.80,-0.29,4.77,http://www.espn.com/nba/player/gamelog/_/id/6475/klay-thompson
13,174,John Henson,F,MIL,14,13.4,-1.58,1.27,-0.31,0.36,http://www.espn.com/nba/player/gamelog/_/id/6592/john-henson
14,175,Kyle Anderson,SF,MEM,43,29.8,-2.66,2.35,-0.31,2.22,http://www.espn.com/nba/player/gamelog/_/id/2993874/kyle-anderson
15,176,Lonzo Ball,PG,LAL,47,30.3,-1.61,1.29,-0.32,2.67,http://www.espn.com/nba/player/gamelog/_/id/4066421/lonzo-ball
16,177,Thomas Welsh,C,DEN,11,3.3,-1.64,1.30,-0.34,0.06,http://www.espn.com/nba/player/gamelog/_/id/3155536/thomas-welsh
